bv,temp,r,g,b,hex
-0.4,113017,155,178,255,#9bb2ff
-0.35,56701,158,181,255,#9eb5ff
-0.3,33605,163,185,255,#a3b9ff
-0.25,22695,170,191,255,#aabfff
-0.2,16954,178,197,255,#b2c5ff
-0.15,13674,187,204,255,#bbccff
-0.1,11677,196,210,255,#c4d2ff
-0.05,10395,204,216,255,#ccd8ff
0,9531,211,221,255,#d3ddff
0.05,8917,218,226,255,#dae2ff
0.1,8455,223,229,255,#dfe5ff
0.15,8084,228,233,255,#e4e9ff
0.2,7767,233,236,255,#e9ecff
0.25,7483,238,239,255,#eeefff
0.3,7218,243,242,255,#f3f2ff
0.35,6967,248,246,255,#f8f6ff
0.4,6728,254,249,255,#fef9ff
0.45,6500,255,249,251,#fff9fb
0.5,6285,255,247,245,#fff7f5
0.55,6082,255,245,239,#fff5ef
0.6,5895,255,243,234,#fff3ea
0.65,5722,255,241,229,#fff1e5
0.7,5563,255,239,224,#ffefe0
0.75,5418,255,237,219,#ffeddb
0.8,5286,255,235,214,#ffebd6
0.85,5164,255,233,210,#ffe9d2
0.9,5052,255,232,206,#ffe8ce
0.95,4948,255,230,202,#ffe6ca
1,4849,255,229,198,#ffe5c6
1.05,4755,255,227,195,#ffe3c3
1.1,4664,255,226,191,#ffe2bf
1.15,4576,255,224,187,#ffe0bb
1.2,4489,255,223,184,#ffdfb8
1.25,4405,255,221,180,#ffddb4
1.3,4322,255,219,176,#ffdbb0
1.35,4241,255,218,173,#ffdaad
1.4,4159,255,216,169,#ffd8a9
1.45,4076,255,214,165,#ffd6a5
1.5,3989,255,213,161,#ffd5a1
1.55,3892,255,210,156,#ffd29c
1.6,3779,255,208,150,#ffd096
1.65,3640,255,204,143,#ffcc8f
1.7,3463,255,200,133,#ffc885
1.75,3234,255,193,120,#ffc178
1.8,2942,255,183,101,#ffb765
1.85,2579,255,169,75,#ffa94b
1.9,2150,255,149,35,#ff9523
1.95,1675,255,123,0,#ff7b00
2,1195,255,82,0,#ff5200